crime,cod_ibge,municipio,taxa_por_1000,moran_local_Ii,p_valor,cluster,litoranea_turistica
Roubo (art. 157),3506706,Boa Esperança do Sul,0.077,0.1392,0.408,Não significativo,0
Roubo (art. 157),3506805,Bocaina,0.089,0.1878,0.276,Não significativo,0
Roubo (art. 157),3506904,Bofete,0.287,0.0643,0.698,Não significativo,0
Roubo (art. 157),3507001,Boituva,1.081,0.0403,0.544,Não significativo,0
Roubo (art. 157),3507100,Bom Jesus dos Perdões,0.636,-0.0137,0.362,Não significativo,0
Roubo (art. 157),3507159,Bom Sucesso de Itararé,0,0.1741,0.532,Não significativo,0
Roubo (art. 157),3507209,Borá,0,0.2338,0.174,Não significativo,0
Roubo (art. 157),3507308,Boracéia,0.424,0.053900000000000003,0.868,Não significativo,0
Roubo (art. 157),3507407,Borborema,0.281,0.1259,0.202,Não significativo,0
Roubo (art. 157),3507456,Borebi,0.369,0.1004,0.284,Não significativo,0
Roubo (art. 157),3507506,Botucatu,0.241,0.0746,0.61,Não significativo,0
Roubo (art. 157),3507605,Bragança Paulista,0.752,-0.0019,0.924,Não significativo,0
Roubo (art. 157),3507704,Braúna,0,0.2301,0.116,Não significativo,0
Roubo (art. 157),3507753,Brejo Alegre,0.39,0.1058,0.206,Não significativo,0
Roubo (art. 157),3507803,Brodowski,0.397,-0.0924,0.314,Não significativo,0
Roubo (art. 157),3507902,Brotas,0.921,-0.0412,0.67,Não significativo,0
Roubo (art. 157),3508009,Buri,0.099,0.1533,0.35,Não significativo,0
Roubo (art. 157),3508108,Buritama,0.174,0.169,0.082,Não significativo,0
Roubo (art. 157),3508207,Buritizal,0.459,0.0415,0.81,Não significativo,0
Roubo (art. 157),3508306,Cabrália Paulista,0,0.2508,0.062,Não significativo,0
Roubo (art. 157),3508405,Cabreúva,0.638,-0.0143,0.392,Não significativo,0
Roubo (art. 157),3508504,Caçapava,1.507,0.1835,0.426,Não significativo,0
Roubo (art. 157),3508603,Cachoeira Paulista,0.95,0.0863,0.314,Não significativo,0
Roubo (art. 157),3508702,Caconde,0.175,0.1833,0.184,Não significativo,0
Roubo (art. 157),3508801,Cafelândia,0.48,0.0702,0.098,Não significativo,0
Roubo (art. 157),3508900,Caiabu,0,0.2545,0.096,Não significativo,0
Roubo (art. 157),3509007,Caieiras,2.031,2.9901,0.006,Alto-Alto,0
Roubo (art. 157),3509106,Caiuá,0,0.2836,0.018,Baixo-Baixo,0
Roubo (art. 157),3509205,Cajamar,1.888,1.7082,0.008,Alto-Alto,0
Roubo (art. 157),3509254,Cajati,0.982,0.0336,0.456,Não significativo,0
Roubo (art. 157),3509304,Cajobi,0.219,0.1704,0.032,Baixo-Baixo,0
Roubo (art. 157),3509403,Cajuru,1.007,-0.0419,0.78,Não significativo,0
Roubo (art. 157),3509452,Campina do Monte Alegre,0,0.163,0.696,Não significativo,0
Roubo (art. 157),3509502,Campinas,4.004,0.9731,0.242,Não significativo,0
Roubo (art. 157),3509601,Campo Limpo Paulista,2.486,1.337,0.1,Não significativo,0
Roubo (art. 157),3509700,Campos do Jordão,0.915,0.0018,0.612,Não significativo,0
Roubo (art. 157),3509809,Campos Novos Paulista,0,0.2521,0.016,Baixo-Baixo,0
Roubo (art. 157),3509908,Cananéia,0.325,-0.0389,0.524,Não significativo,1
Roubo (art. 157),3509957,Canas,3.042,0.6233,0.352,Não significativo,0
Roubo (art. 157),3510005,Cândido Mota,0.102,0.2079,0.068,Não significativo,0
Roubo (art. 157),3510104,Cândido Rodrigues,0,0.1028,0.964,Não significativo,0
Roubo (art. 157),3510153,Canitar,0.318,0.0894,0.67,Não significativo,0
Roubo (art. 157),3510203,Capão Bonito,0.388,0.0712,0.324,Não significativo,0
Roubo (art. 157),3510302,Capela do Alto,0.787,-0.0064,0.892,Não significativo,0
Roubo (art. 157),3510401,Capivari,0.599,-0.0188,0.406,Não significativo,0
Roubo (art. 157),3510500,Caraguatatuba,1.883,0.1243,0.582,Não significativo,1
Roubo (art. 157),3510609,Carapicuíba,6.398,11.4352,0.004,Alto-Alto,0
Roubo (art. 157),3510708,Cardoso,0.264,0.186,0.002,Baixo-Baixo,0
Roubo (art. 157),3510807,Casa Branca,0.427,0.0405,0.82,Não significativo,0
Roubo (art. 157),3510906,Cássia dos Coqueiros,0,0.0046,0.578,Não significativo,0
Roubo (art. 157),3511003,Castilho,0.1,0.2436,0.01,Baixo-Baixo,0
Roubo (art. 157),3511102,Catanduva,0.44,0.0964,0.006,Baixo-Baixo,0
Roubo (art. 157),3511201,Catiguá,0.143,0.1929,0.098,Não significativo,0
Roubo (art. 157),3511300,Cedral,0,0.138,0.672,Não significativo,0
Roubo (art. 157),3511409,Cerqueira César,0.326,0.1215,0.1,Não significativo,0
Roubo (art. 157),3511508,Cerquilho,0.85,0.0095,0.65,Não significativo,0
Roubo (art. 157),3511607,Cesário Lange,0.577,-0.0037,0.648,Não significativo,0
Roubo (art. 157),3511706,Charqueada,0.837,-1e-4,0.714,Não significativo,0
Roubo (art. 157),3511904,Clementina,0,0.253,0.018,Baixo-Baixo,0
Roubo (art. 157),3512001,Colina,0.27,0.1005,0.432,Não significativo,0
Roubo (art. 157),3512100,Colômbia,0.302,0.0565,0.868,Não significativo,0
Roubo (art. 157),3512209,Conchal,0.783,0.037,0.234,Não significativo,0
Roubo (art. 157),3512308,Conchas,0.853,0.0042,0.664,Não significativo,0
Roubo (art. 157),3512407,Cordeirópolis,1.061,0.1277,0.296,Não significativo,0
Roubo (art. 157),3512506,Coroados,0,0.2464,0.064,Não significativo,0
Roubo (art. 157),3512605,Coronel Macedo,0,0.1861,0.338,Não significativo,0
Roubo (art. 157),3512704,Corumbataí,0.954,0.0775,0.318,Não significativo,0
Roubo (art. 157),3512803,Cosmópolis,1.405,0.1149,0.46,Não significativo,0
Roubo (art. 157),3512902,Cosmorama,0.115,0.2136,0.056,Não significativo,0
Roubo (art. 157),3513009,Cotia,4.843,9.7671,0.002,Alto-Alto,0
