modelo,tipo,r2,AIC
OLS ~ renda,global,0.1291132279616849,3389.5549595958155
OLS ~ renda + litoral,global,0.35681934191024606,3196.0642801594513
Spatial Error ~ renda + litoral,global,0.4442812357572289,3130.861853536446
GWR ~ renda,local,0.4578408006211533,3136.9741009576032
GWR ~ renda + litoral,local,0.5316317855148788,3027.3593514143176
"OLS ~ renda (só litoral, n=16)",regime litorâneo,0.008175660230389813,113.57780647612071
