modelo,parametro_espacial,r2,AIC,moran_residuos
OLS clássico,nenhum,0.1291132279616849,3389.5549595958155,0.3798742150022112
Spatial Lag (SAR),rho = 0.519,0.3098467156542817,3241.5290905406077,NA
Spatial Error (CAR),lambda = 0.588,0.3318654054284996,3220.6155576344345,-0.028788121605922368
GWR (local),bw adapt. = 0.016,0.4578408006211533,3136.9741009576032,NA
