variavel,Taxa roubo,Taxa furto,Taxa lesão corporal,Renda
Taxa roubo,1,0.544,-0.131,0.302
Taxa furto,0.544,1,0.116,0.359
Taxa lesão corporal,-0.131,0.116,1,-0.19
Renda,0.302,0.359,-0.19,1
