cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3507506,Botucatu,145155,3043.17,35,1378,835,0.241,9.493,5.752
3507605,Bragança Paulista,176811,3111.73,133,1454,673,0.752,8.223,3.806
3507704,Braúna,5356,2027.65,0,12,10,0,2.24,1.867
3507753,Brejo Alegre,2565,1931.09,1,14,8,0.39,5.458,3.119
3507803,Brodowski,25201,2702.69,10,152,92,0.397,6.032,3.651
3507902,Brotas,23898,2550.68,22,184,81,0.921,7.699,3.389
3508009,Buri,20250,2021.38,2,124,82,0.099,6.123,4.049
3508108,Buritama,17210,2572.73,3,124,68,0.174,7.205,3.951
3508207,Buritizal,4356,2691.94,2,46,16,0.459,10.56,3.673
3508306,Cabrália Paulista,4299,1913.91,0,17,14,0,3.954,3.257
3508405,Cabreúva,47011,2513.5,30,317,173,0.638,6.743,3.68
3508504,Caçapava,96202,2689.11,145,910,321,1.507,9.459,3.337
3508603,Cachoeira Paulista,31564,2290.61,30,245,96,0.95,7.762,3.041
3508702,Caconde,17101,2158.44,3,81,61,0.175,4.737,3.567
3508801,Cafelândia,16654,2367.29,8,74,53,0.48,4.443,3.182
3508900,Caiabu,3712,2109.13,0,11,17,0,2.963,4.58
3509007,Caieiras,95032,2831.36,193,591,337,2.031,6.219,3.546
3509106,Caiuá,5466,1854.08,0,10,22,0,1.829,4.025
3509205,Cajamar,92689,3038.67,175,1002,386,1.888,10.81,4.164
3509254,Cajati,28515,2345.98,28,222,120,0.982,7.785,4.208
3509304,Cajobi,9133,2324.1,2,47,45,0.219,5.146,4.927
3509403,Cajuru,23830,2255.68,24,259,103,1.007,10.869,4.322
3509452,Campina do Monte Alegre,5954,2057.24,0,43,27,0,7.222,4.535
3509502,Campinas,1139047,4150.92,4561,20348,4403,4.004,17.864,3.866
3509601,Campo Limpo Paulista,77632,2658.67,193,650,291,2.486,8.373,3.748
3509700,Campos do Jordão,46974,2339.62,43,531,276,0.915,11.304,5.876
3509809,Campos Novos Paulista,4888,2119.07,0,33,9,0,6.751,1.841
3509908,Cananéia,12289,2076.48,4,106,70,0.325,8.626,5.696
3509957,Canas,4931,1936.72,15,51,12,3.042,10.343,2.434
3510005,Cândido Mota,29449,2427.99,3,270,105,0.102,9.168,3.565
