cod_ibge,municipio,populacao,renda,n_roubo,n_furto,n_lesao,taxa_roubo_1000,taxa_furto_1000,taxa_lesao_1000
3532868,Nova Castilho,1062,2519.22,0,3,2,0,2.825,1.883
3532900,Nova Europa,9311,2412.21,1,52,55,0.107,5.585,5.907
3533007,Nova Granada,19419,2167.69,10,92,89,0.515,4.738,4.583
3533106,Nova Guataporanga,2156,1938.26,0,5,7,0,2.319,3.247
3533205,Nova Independência,4609,2482.4,0,21,33,0,4.556,7.16
3533254,Novais,4412,1972.28,0,9,20,0,2.04,4.533
3533304,Nova Luzitânia,2837,2045.57,0,20,14,0,7.05,4.935
3533403,Nova Odessa,62019,3109.41,64,572,179,1.032,9.223,2.886
3533502,Novo Horizonte,38324,2609.7,4,276,162,0.104,7.202,4.227
3533601,Nuporanga,7391,2671.26,4,36,24,0.541,4.871,3.247
3533700,Ocauçu,4331,2056.79,0,21,11,0,4.849,2.54
3533809,Óleo,2512,2072.56,0,17,1,0,6.768,0.398
3533908,Olímpia,55074,2696.96,18,360,238,0.327,6.537,4.321
3534005,Onda Verde,4771,2228.28,1,38,27,0.21,7.965,5.659
3534104,Oriente,6085,2371.3,1,27,23,0.164,4.437,3.78
3534203,Orindiúva,6024,2448.41,0,27,11,0,4.482,1.826
3534302,Orlândia,38319,2688.73,12,190,132,0.313,4.958,3.445
3534401,Osasco,728615,3342.5,4074,10575,2236,5.591,14.514,3.069
3534500,Oscar Bressane,2470,2152.85,0,17,8,0,6.883,3.239
3534609,Osvaldo Cruz,31272,2627.55,6,167,105,0.192,5.34,3.358
3534708,Ourinhos,103970,2967.38,56,1085,477,0.539,10.436,4.588
3534757,Ouroeste,10294,2806.64,1,77,68,0.097,7.48,6.606
3534807,Ouro Verde,7779,1967.93,0,27,45,0,3.471,5.785
3534906,Pacaembu,14877,2350.71,0,50,50,0,3.361,3.361
3535002,Palestina,11476,2320.55,1,53,44,0.087,4.618,3.834
3535101,Palmares Paulista,9650,2117.41,2,47,57,0.207,4.87,5.907
3535200,Palmeira d'Oeste,8903,2205.1,0,42,26,0,4.718,2.92
3535309,Palmital,19594,2848.62,7,111,64,0.357,5.665,3.266
3535408,Panorama,14964,2159.87,1,130,85,0.067,8.688,5.68
3535507,Paraguaçu Paulista,41120,2483.55,5,355,207,0.122,8.633,5.034
3535606,Paraibuna,17667,2021.62,7,169,72,0.396,9.566,4.075
3535705,Paraíso,6099,2703.81,1,11,15,0.164,1.804,2.459
3535804,Paranapanema,19395,2582.05,6,107,96,0.309,5.517,4.95
3535903,Paranapuã,4031,2382.73,0,16,24,0,3.969,5.954
3536000,Parapuã,10580,2243.49,2,64,43,0.189,6.049,4.064
3536109,Pardinho,7153,2488.97,3,81,23,0.419,11.324,3.215
3536208,Pariquera-Açu,19233,2358.26,7,118,91,0.364,6.135,4.731
3536257,Parisi,2892,1998.64,0,20,23,0,6.916,7.953
3536307,Patrocínio Paulista,14512,2108.84,3,172,76,0.207,11.852,5.237
3536406,Paulicéia,7955,2092.06,0,26,34,0,3.268,4.274
3536505,Paulínia,110537,4504.74,104,1186,478,0.941,10.729,4.324
3536570,Paulistânia,2090,1872.95,0,12,13,0,5.742,6.22
3536604,Paulo de Faria,7400,2193.22,1,24,36,0.135,3.243,4.865
3536703,Pederneiras,44827,2550.75,23,390,214,0.513,8.7,4.774
3536802,Pedra Bela,6557,2116.22,1,21,16,0.153,3.203,2.44
3536901,Pedranópolis,2787,2343.58,0,16,14,0,5.741,5.023
3537008,Pedregulho,15525,2194.93,7,160,75,0.451,10.306,4.831
3537107,Pedreira,43112,2567.33,21,292,151,0.487,6.773,3.503
3537156,Pedrinhas Paulista,2804,2709.23,0,12,5,0,4.28,1.783
3537206,Pedro de Toledo,11281,1933.01,3,122,44,0.266,10.815,3.9
3537305,Penápolis,61679,2676.78,18,562,285,0.292,9.112,4.621
3537404,Pereira Barreto,24095,2517.28,9,175,89,0.374,7.263,3.694
3537503,Pereiras,8737,2105.26,3,58,38,0.343,6.638,4.349
3537602,Peruíbe,68352,2243.73,213,1713,466,3.116,25.061,6.818
3537701,Piacatu,5519,2079.32,0,14,16,0,2.537,2.899
3537800,Piedade,52970,2171.66,44,326,150,0.831,6.154,2.832
3537909,Pilar do Sul,27619,2605.78,3,114,69,0.109,4.128,2.498
3538006,Pindamonhangaba,165428,2672.9,243,1356,588,1.469,8.197,3.554
3538105,Pindorama,14542,2608.38,2,90,73,0.138,6.189,5.02
3538204,Pinhalzinho,15224,2234.21,2,135,55,0.131,8.868,3.613
3538303,Piquerobi,3264,2063.83,0,9,21,0,2.757,6.434
3538501,Piquete,12490,2158.32,5,72,41,0.4,5.765,3.283
3538600,Piracaia,26029,2370.02,9,149,105,0.346,5.724,4.034
3538709,Piracicaba,423323,3416.57,508,4018,1579,1.2,9.492,3.73
3538808,Piraju,29436,2509.17,9,179,148,0.306,6.081,5.028
3538907,Pirajuí,22431,2609.6,3,105,96,0.134,4.681,4.28
3539004,Pirangi,10885,2453.77,0,62,44,0,5.696,4.042
3539103,Pirapora do Bom Jesus,18370,2127.98,9,80,86,0.49,4.355,4.682
3539202,Pirapozinho,25348,2306.71,2,157,131,0.079,6.194,5.168
3539301,Pirassununga,73545,2959.67,39,602,378,0.53,8.185,5.14
3539400,Piratininga,15108,3213.46,3,113,75,0.199,7.479,4.964
3539509,Pitangueiras,33674,2188.2,33,241,106,0.98,7.157,3.148
3539608,Planalto,4389,2121.81,3,33,23,0.684,7.519,5.24
3539707,Platina,3025,2077.7,0,11,13,0,3.636,4.298
3539806,Poá,103765,2497.82,713,1294,384,6.871,12.47,3.701
3539905,Poloni,5592,2292.68,0,24,21,0,4.292,3.755
3540002,Pompéia,20196,2736.25,7,91,45,0.347,4.506,2.228
3540101,Pongaí,3395,2479.65,0,7,12,0,2.062,3.535
3540200,Pontal,37607,2264.33,25,209,95,0.665,5.557,2.526
3540259,Pontalinda,4127,1907.36,0,15,40,0,3.635,9.692
3540309,Pontes Gestal,2387,2183.66,0,10,14,0,4.189,5.865
3540408,Populina,4127,2218.38,1,28,25,0.242,6.785,6.058
3540507,Porangaba,10451,2324.16,3,89,27,0.287,8.516,2.583
3540606,Porto Feliz,56497,2613.45,67,353,176,1.186,6.248,3.115
3540705,Porto Ferreira,52649,2520.89,74,325,222,1.406,6.173,4.217
3540754,Potim,20392,1814.7,6,70,69,0.294,3.433,3.384
3540804,Potirendaba,18496,2574.68,5,141,90,0.27,7.623,4.866
3540853,Pracinha,2578,1843,0,6,6,0,2.327,2.327
3540903,Pradópolis,17078,2582.32,4,98,57,0.234,5.738,3.338
3541000,Praia Grande,349935,3021.85,1845,8015,1666,5.272,22.904,4.761
3541059,Pratânia,5126,2076.26,2,23,31,0.39,4.487,6.048
3541109,Presidente Alves,3804,2208.23,0,17,13,0,4.469,3.417
3541208,Presidente Bernardes,14490,2469.28,0,43,64,0,2.968,4.417
3541307,Presidente Epitácio,39505,2243.38,4,288,150,0.101,7.29,3.797
3541406,Presidente Prudente,225668,3328.9,86,2094,1197,0.381,9.279,5.304
3541505,Presidente Venceslau,35201,2891.63,1,105,155,0.028,2.983,4.403
3541604,Promissão,35131,2454.49,13,232,143,0.37,6.604,4.07
3541653,Quadra,3405,2385.19,3,16,5,0.881,4.699,1.468
3541703,Quatá,13163,2294.22,2,40,59,0.152,3.039,4.482
3541802,Queiroz,3265,2170.9,0,18,30,0,5.513,9.188
3541901,Queluz,9159,1888.26,7,67,50,0.764,7.315,5.459
3542008,Quintana,7038,2254.17,0,29,24,0,4.12,3.41
3542107,Rafard,8965,2518.19,6,42,41,0.669,4.685,4.573
3542206,Rancharia,28588,2283.33,6,218,183,0.21,7.626,6.401
3542305,Redenção da Serra,4494,1824.37,5,48,17,1.113,10.681,3.783
3542404,Regente Feijó,20145,2468.66,3,147,145,0.149,7.297,7.198
3542503,Reginópolis,7662,2405.92,0,16,45,0,2.088,5.873
3542602,Registro,59947,2574.66,32,529,278,0.534,8.824,4.637
3542701,Restinga,6404,1955.09,2,57,48,0.312,8.901,7.495
3542800,Ribeira,3132,1829.53,0,10,11,0,3.193,3.512
3542909,Ribeirão Bonito,10989,2159.31,6,53,44,0.546,4.823,4.004
3543006,Ribeirão Branco,18627,1787.86,9,77,80,0.483,4.134,4.295
3543105,Ribeirão Corrente,4608,1840.29,0,34,15,0,7.378,3.255
3543204,Ribeirão do Sul,4677,2253.49,0,19,11,0,4.062,2.352
3543238,Ribeirão dos Índios,2025,1832.73,0,4,5,0,1.975,2.469
3543253,Ribeirão Grande,7450,1759.68,3,20,18,0.403,2.685,2.416
3543303,Ribeirão Pires,115559,2777.85,237,766,373,2.051,6.629,3.228
3543402,Ribeirão Preto,698642,3871.12,1417,9246,2916,2.028,13.234,4.174
3543501,Riversul,5599,1710.3,2,36,23,0.357,6.43,4.108
3543600,Rifaina,4049,2320.26,0,55,41,0,13.584,10.126
3543709,Rincão,9098,2149.88,0,68,25,0,7.474,2.748
3543808,Rinópolis,9259,2166.45,2,45,24,0.216,4.86,2.592
3543907,Rio Claro,201418,3102.39,289,1780,753,1.435,8.837,3.738
3544004,Rio das Pedras,31328,2617.86,28,216,139,0.894,6.895,4.437
3544103,Rio Grande da Serra,44170,2119.91,51,297,173,1.155,6.724,3.917
3544202,Riolândia,10309,1953.4,1,63,42,0.097,6.111,4.074
3544251,Rosana,17440,2582.11,3,112,87,0.172,6.422,4.989
3544301,Roseira,10832,2261.8,9,81,46,0.831,7.478,4.247
3544400,Rubiácea,2700,1905.97,0,9,14,0,3.333,5.185
3544509,Rubinéia,3833,2190.41,0,13,29,0,3.392,7.566
3544608,Sabino,5112,2175.76,1,45,37,0.196,8.803,7.238
3544707,Sagres,2474,1968.11,0,2,13,0,0.808,5.255
3544806,Sales,6437,2158.12,1,39,40,0.155,6.059,6.214
3544905,Sales Oliveira,11411,2594.47,4,71,41,0.351,6.222,3.593
3545001,Salesópolis,15202,2102.79,9,77,71,0.592,5.065,4.67
3545100,Salmourão,4808,1849.13,1,20,18,0.208,4.16,3.744
3545159,Saltinho,8161,2921.62,12,56,21,1.47,6.862,2.573
3545209,Salto,134319,3134.09,66,861,308,0.491,6.41,2.293
3545308,Salto de Pirapora,43748,2455.23,23,286,162,0.526,6.537,3.703
3545407,Salto Grande,9050,1986.94,7,86,37,0.773,9.503,4.088
3545506,Sandovalina,3645,2089.31,1,22,32,0.274,6.036,8.779
3545605,Santa Adélia,14018,2462.93,1,76,67,0.071,5.422,4.78
3545704,Santa Albertina,6393,2312.71,1,21,30,0.156,3.285,4.693
3545803,Santa Bárbara d'Oeste,183347,2864.47,158,1574,503,0.862,8.585,2.743
3546009,Santa Branca,13975,2180.47,4,93,45,0.286,6.655,3.22
3546108,Santa Clara d'Oeste,2598,2186.62,0,16,18,0,6.159,6.928
3546207,Santa Cruz da Conceição,4277,2633.43,5,36,28,1.169,8.417,6.547
3546256,Santa Cruz da Esperança,2116,2178.11,1,18,8,0.473,8.507,3.781
3546306,Santa Cruz das Palmeiras,28864,2422.12,10,124,83,0.346,4.296,2.876
3546405,Santa Cruz do Rio Pardo,46442,2743.17,12,423,196,0.258,9.108,4.22
3546504,Santa Ernestina,6118,2466.79,4,19,19,0.654,3.106,3.106
3546603,Santa Fé do Sul,34794,2943.53,10,237,173,0.287,6.812,4.972
3546702,Santa Gertrudes,23611,2763.69,14,111,83,0.593,4.701,3.515
3546801,Santa Isabel,53174,2276.55,70,338,200,1.316,6.356,3.761
3546900,Santa Lúcia,7149,2244.96,0,43,15,0,6.015,2.098
3547007,Santa Maria da Serra,5243,2085.37,2,18,31,0.381,3.433,5.913
3547106,Santa Mercedes,2956,2614.19,0,13,14,0,4.398,4.736
3547205,Santana da Ponte Pensa,1670,2405.81,2,10,8,1.198,5.988,4.79
3547304,Santana de Parnaíba,154105,6081.35,144,899,523,0.934,5.834,3.394
3547403,Santa Rita d'Oeste,2733,2057.02,0,6,7,0,2.195,2.561
3547502,Santa Rita do Passa Quatro,24833,2701.79,12,230,69,0.483,9.262,2.779
3547601,Santa Rosa de Viterbo,23411,2600.21,2,133,106,0.085,5.681,4.528
3547650,Santa Salete,1645,2252.62,0,7,8,0,4.255,4.863
3547700,Santo Anastácio,17963,2469.58,2,54,71,0.111,3.006,3.953
3547809,Santo André,748919,4042.61,6108,12576,2119,8.156,16.792,2.829
3547908,Santo Antônio da Alegria,6775,1965.43,3,32,41,0.443,4.723,6.052
3548005,Santo Antônio de Posse,23244,2277.05,17,112,98,0.731,4.818,4.216
3548054,Santo Antônio do Aracanguá,8379,2306.72,0,88,37,0,10.502,4.416
3548104,Santo Antônio do Jardim,6126,2117.41,3,16,23,0.49,2.612,3.754
3548203,Santo Antônio do Pinhal,7133,2416.24,0,56,21,0,7.851,2.944
3548302,Santo Expedito,3000,1852.6,0,8,31,0,2.667,10.333
3548401,Santópolis do Aguapeí,3899,1951.12,1,19,22,0.256,4.873,5.642
3548500,Santos,418608,5010.54,1637,6542,1514,3.911,15.628,3.617
3548609,São Bento do Sapucaí,11674,2509.03,1,44,29,0.086,3.769,2.484
3548708,São Bernardo do Campo,810729,3706,4518,10005,2363,5.573,12.341,2.915
3548807,São Caetano do Sul,165655,6167.1,389,2216,464,2.348,13.377,2.801
3548906,São Carlos,254857,3608.49,250,3278,781,0.981,12.862,3.064
3549003,São Francisco,2602,2260.51,0,6,12,0,2.306,4.612
3549102,São João da Boa Vista,92547,3002.57,25,764,410,0.27,8.255,4.43
3549201,São João das Duas Pontes,2580,2318.8,0,12,12,0,4.651,4.651
3549250,São João de Iracema,1846,2167.97,0,12,14,0,6.501,7.584
3549300,São João do Pau d'Alho,2242,2235.51,0,0,2,0,0,0.892
3549409,São Joaquim da Barra,48558,2498.81,21,291,234,0.432,5.993,4.819
3549508,São José da Bela Vista,7626,1868.76,3,100,39,0.393,13.113,5.114
3549607,São José do Barreiro,3853,1876.34,1,17,22,0.26,4.412,5.71
3549706,São José do Rio Pardo,52205,2422.97,8,363,188,0.153,6.953,3.601
3549805,São José do Rio Preto,480393,3777.03,612,7930,2209,1.274,16.507,4.598
3549904,São José dos Campos,697054,3746.44,707,6081,2309,1.014,8.724,3.313
3549953,São Lourenço da Serra,16067,2334.88,61,129,63,3.797,8.029,3.921
3550001,São Luiz do Paraitinga,10337,2088.94,6,47,33,0.58,4.547,3.192
3550100,São Manuel,37289,2365.46,12,273,241,0.322,7.321,6.463
3550209,São Miguel Arcanjo,32039,2115.93,17,191,78,0.531,5.961,2.435
3550308,São Paulo,11451999,4547.62,108412,288569,40754,9.467,25.198,3.559
3550407,São Pedro,38256,2592.9,19,290,165,0.497,7.581,4.313
3550506,São Pedro do Turvo,7217,2285.54,0,29,47,0,4.018,6.512
3550605,São Roque,79484,3173.16,99,694,299,1.246,8.731,3.762
3550704,São Sebastião,81595,2516.68,115,1041,553,1.409,12.758,6.777
3550803,São Sebastião da Grama,10441,2057.34,0,37,44,0,3.544,4.214
3550902,São Simão,13442,2572.14,17,119,58,1.265,8.853,4.315
3551009,São Vicente,329911,2389.72,2415,5033,1100,7.32,15.256,3.334
3551108,Sarapuí,10369,2324.87,4,88,45,0.386,8.487,4.34
3551207,Sarutaiá,3704,1692.2,1,15,19,0.27,4.05,5.13
3551306,Sebastianópolis do Sul,3130,2525.89,0,16,9,0,5.112,2.875
3551405,Serra Azul,12746,2478.61,4,70,71,0.314,5.492,5.57
3551504,Serrana,43909,2160.57,55,221,172,1.253,5.033,3.917
3551603,Serra Negra,29894,2589.53,9,199,123,0.301,6.657,4.115
3551702,Sertãozinho,126887,2906.1,88,1019,424,0.694,8.031,3.342
3551801,Sete Barras,12730,1713.74,1,82,55,0.079,6.441,4.321
3551900,Severínia,14576,2168.15,2,62,67,0.137,4.254,4.597
3552007,Silveiras,6186,1757.92,3,32,22,0.485,5.173,3.556
3552106,Socorro,40122,2569.33,12,196,118,0.299,4.885,2.941
3552205,Sorocaba,723682,3508.69,1260,11370,2371,1.741,15.711,3.276
3552304,Sud Mennucci,7355,2285.81,0,46,29,0,6.254,3.943
3552403,Sumaré,279545,2791.46,644,2649,893,2.304,9.476,3.194
3552502,Suzano,307429,2557.76,1320,3644,1110,4.294,11.853,3.611
3552551,Suzanápolis,3408,2226.03,0,23,14,0,6.749,4.108
3552601,Tabapuã,11323,2440.42,1,55,42,0.088,4.857,3.709
3552700,Tabatinga,14769,2221.34,6,139,104,0.406,9.412,7.042
3552809,Taboão da Serra,273542,2926.68,1792,2686,901,6.551,9.819,3.294
3552908,Taciba,6260,2192.24,2,22,29,0.319,3.514,4.633
3553005,Taguaí,12669,1938.57,5,61,62,0.395,4.815,4.894
3553104,Taiaçu,5677,1989.79,1,17,29,0.176,2.995,5.108
3553203,Taiúva,6548,2179.72,1,41,20,0.153,6.261,3.054
3553302,Tambaú,21435,2393.4,16,110,109,0.746,5.132,5.085
3553401,Tanabi,25265,2362.63,8,227,123,0.317,8.985,4.868
3553500,Tapiraí,7996,1833.41,3,43,35,0.375,5.378,4.377
3553609,Tapiratiba,11816,2019.78,2,39,40,0.169,3.301,3.385
3553658,Taquaral,2619,2491.32,0,22,13,0,8.4,4.964
3553708,Taquaritinga,52260,2475.38,24,450,275,0.459,8.611,5.262
3553807,Taquarituba,24350,2506.82,7,137,147,0.287,5.626,6.037
3553856,Taquarivaí,6876,2035.19,0,24,34,0,3.49,4.945
3553906,Tarabai,6536,2013.98,2,41,25,0.306,6.273,3.825
3553955,Tarumã,14882,2297.27,1,56,54,0.067,3.763,3.629
3554003,Tatuí,123942,2558.17,115,1020,476,0.928,8.23,3.841
3554102,Taubaté,310739,3130.57,580,3376,1194,1.867,10.864,3.842
3554201,Tejupá,4127,1635.2,0,16,19,0,3.877,4.604
3554300,Teodoro Sampaio,22173,2211.89,4,148,158,0.18,6.675,7.126
3554409,Terra Roxa,7904,2380.76,3,29,23,0.38,3.669,2.91
3554508,Tietê,37663,3005.89,30,274,75,0.797,7.275,1.991
3554607,Timburi,2464,1939.2,0,9,9,0,3.653,3.653
3554656,Torre de Pedra,2046,1911.08,0,13,8,0,6.354,3.91
3554706,Torrinha,9335,2381.59,3,51,43,0.321,5.463,4.606
3554755,Trabiju,1682,2019.57,1,6,9,0.595,3.567,5.351
3554805,Tremembé,51173,2893.03,45,256,153,0.879,5.003,2.99
3554904,Três Fronteiras,6804,2273.6,1,41,45,0.147,6.026,6.614
3554953,Tuiuti,6778,2158.15,4,49,39,0.59,7.229,5.754
3555000,Tupã,63928,2666.74,13,450,294,0.203,7.039,4.599
3555109,Tupi Paulista,15854,2747.93,1,42,73,0.063,2.649,4.605
3555208,Turiúba,1818,2402.95,0,10,8,0,5.501,4.4
3555307,Turmalina,1669,2264.69,0,10,8,0,5.992,4.793
3555356,Ubarana,5365,1961.53,0,39,42,0,7.269,7.829
3555406,Ubatuba,92981,2440.77,138,1628,548,1.484,17.509,5.894
3555505,Ubirajara,5132,2264.01,1,34,23,0.195,6.625,4.482
3555604,Uchoa,10394,2322.82,1,55,31,0.096,5.292,2.982
3555703,União Paulista,1603,2048.14,0,5,10,0,3.119,6.238
3555802,Urânia,8833,2391.24,3,53,42,0.34,6,4.755
3555901,Uru,1387,2090.23,0,5,6,0,3.605,4.326
3556008,Urupês,13744,2461.03,0,81,82,0,5.893,5.966
3556107,Valentim Gentil,14098,2370.26,1,62,70,0.071,4.398,4.965
3556206,Valinhos,126373,4829.64,124,942,432,0.981,7.454,3.418
3556305,Valparaíso,24241,2568.19,6,99,81,0.248,4.084,3.341
3556354,Vargem,10512,2329.57,7,68,34,0.666,6.469,3.234
3556404,Vargem Grande do Sul,40133,2325.07,19,293,174,0.473,7.301,4.336
3556453,Vargem Grande Paulista,50415,3451.77,78,372,171,1.547,7.379,3.392
3556503,Várzea Paulista,115771,2488.31,174,877,432,1.503,7.575,3.732
3556602,Vera Cruz,10176,2439.68,2,60,44,0.197,5.896,4.324
3556701,Vinhedo,76540,5030.62,69,649,254,0.901,8.479,3.319
3556800,Viradouro,17414,2284.17,8,81,80,0.459,4.651,4.594
3556909,Vista Alegre do Alto,8109,2266.78,3,20,16,0.37,2.466,1.973
3556958,Vitória Brasil,1794,2139.31,0,8,8,0,4.459,4.459
3557006,Votorantim,127923,3125.84,89,1008,382,0.696,7.88,2.986
3557105,Votuporanga,96634,2868.88,26,716,482,0.269,7.409,4.988
3557154,Zacarias,2692,2268.38,0,14,4,0,5.201,1.486
3557204,Chavantes,12211,2164.81,2,113,66,0.164,9.254,5.405
3557303,Estiva Gerbi,11295,2733.37,16,64,60,1.417,5.666,5.312
